time posx posy posz velx vely velz accx accy accz omg1 omg2 omg3 omg4 epot ecin emec 
2.10 0.44 0.78 7.36 0.49 1.17 5.95 0.04 0.58 -3.86 1.21 1.01 1.21 1.41 72.17 18.50 90.67 
2.15 0.47 0.84 7.64 0.49 1.20 5.70 0.02 0.48 -4.91 1.10 0.90 1.10 1.30 74.90 17.10 92.00 
2.20 0.49 0.90 7.91 0.49 1.22 5.42 0.01 0.41 -5.65 1.01 0.81 1.01 1.21 77.49 15.55 93.04 
2.25 0.52 0.97 8.16 0.49 1.23 5.11 0.01 0.36 -6.16 0.95 0.75 0.95 1.15 79.92 13.95 93.87 
2.30 0.54 1.03 8.39 0.49 1.25 4.79 0.00 0.33 -6.50 0.90 0.70 0.90 1.10 82.19 12.36 94.55 
2.35 0.57 1.09 8.60 0.49 1.27 4.45 -0.00 0.31 -6.72 0.87 0.67 0.87 1.07 84.29 10.83 95.12 
2.40 0.59 1.16 8.80 0.49 1.28 4.11 -0.01 0.30 -6.82 0.85 0.65 0.85 1.05 86.22 9.39 95.60 
2.45 0.62 1.22 8.98 0.49 1.30 3.77 -0.01 0.30 -6.83 0.85 0.65 0.85 1.05 87.98 8.06 96.04 
2.50 0.64 1.29 9.14 0.49 1.31 3.43 -0.01 0.30 -6.77 0.86 0.66 0.86 1.06 89.58 6.86 96.44 
2.55 0.66 1.36 9.29 0.49 1.33 3.10 -0.02 0.31 -6.64 0.88 0.68 0.88 1.08 91.01 5.80 96.81 
2.60 0.69 1.42 9.42 0.49 1.34 2.78 -0.02 0.33 -6.45 0.91 0.71 0.91 1.11 92.29 4.87 97.17 
2.65 0.71 1.49 9.53 0.49 1.36 2.47 -0.03 0.35 -6.20 0.94 0.74 0.94 1.14 93.43 4.08 97.51 
2.70 0.74 1.56 9.63 0.48 1.38 2.17 -0.03 0.38 -5.90 0.98 0.78 0.98 1.18 94.42 3.43 97.84 
2.75 0.76 1.63 9.72 0.48 1.40 1.89 -0.04 0.41 -5.56 1.02 0.82 1.02 1.22 95.28 2.89 98.17 
2.80 0.78 1.70 9.80 0.48 1.42 1.63 -0.04 0.44 -5.18 1.07 0.87 1.07 1.27 96.02 2.46 98.48 
2.85 0.81 1.78 9.86 0.48 1.45 1.39 -0.05 0.47 -4.78 1.11 0.91 1.11 1.31 96.64 2.13 98.77 
2.90 0.83 1.85 9.91 0.48 1.47 1.18 -0.05 0.51 -4.37 1.16 0.96 1.16 1.36 97.16 1.89 99.05 
2.95 0.86 1.93 9.96 0.47 1.50 0.98 -0.05 0.54 -3.94 1.20 1.00 1.20 1.40 97.59 1.71 99.31 
3.00 0.88 2.00 9.99 0.47 1.53 0.80 -0.06 0.57 -3.52 1.25 1.05 1.25 1.45 97.94 1.60 99.54 
3.05 0.90 2.08 10.02 0.47 1.56 0.65 -0.06 0.59 -3.12 1.29 1.09 1.29 1.49 98.22 1.53 99.75 
3.10 0.93 2.16 10.05 0.46 1.59 0.51 -0.06 0.61 -2.72 1.33 1.13 1.33 1.53 98.44 1.50 99.94 
3.15 0.95 2.24 10.06 0.46 1.62 0.39 -0.05 0.63 -2.35 1.36 1.16 1.36 1.56 98.60 1.49 100.10 
3.20 0.97 2.33 10.07 0.46 1.65 0.29 -0.05 0.64 -2.01 1.39 1.19 1.39 1.59 98.72 1.51 100.23 
3.25 0.99 2.41 10.08 0.46 1.68 0.21 -0.04 0.65 -1.70 1.42 1.22 1.42 1.62 98.80 1.54 100.35 
3.30 1.02 2.50 10.09 0.46 1.71 0.14 -0.04 0.65 -1.41 1.44 1.24 1.44 1.64 98.85 1.58 100.44 
3.35 1.04 2.59 10.09 0.45 1.75 0.08 -0.02 0.65 -1.16 1.46 1.26 1.46 1.66 98.88 1.63 100.51 
3.40 1.06 2.68 10.09 0.45 1.78 0.03 -0.01 0.64 -0.94 1.48 1.28 1.48 1.68 98.88 1.69 100.57 
3.45 1.09 2.77 10.09 0.45 1.81 -0.01 0.00 0.62 -0.75 1.50 1.30 1.50 1.70 98.87 1.74 100.61 
3.50 1.11 2.86 10.09 0.45 1.84 -0.03 0.02 0.60 -0.58 1.51 1.31 1.51 1.71 98.85 1.80 100.64 
3.55 1.13 2.95 10.08 0.46 1.87 -0.06 0.04 0.58 -0.44 1.52 1.32 1.52 1.72 98.81 1.85 100.67 
3.60 1.15 3.05 10.08 0.46 1.90 -0.07 0.06 0.55 -0.32 1.53 1.33 1.53 1.73 98.78 1.91 100.68 
3.65 1.18 3.15 10.07 0.46 1.92 -0.08 0.09 0.52 -0.22 1.54 1.34 1.54 1.74 98.73 1.96 100.69 
3.70 1.20 3.24 10.07 0.47 1.95 -0.09 0.12 0.49 -0.14 1.55 1.35 1.55 1.75 98.69 2.01 100.70 
3.75 1.23 3.34 10.07 0.48 1.97 -0.09 0.15 0.45 -0.07 1.55 1.35 1.55 1.75 98.64 2.06 100.70 
3.80 1.25 3.44 10.06 0.49 1.99 -0.09 0.18 0.41 -0.02 1.56 1.36 1.56 1.76 98.59 2.10 100.70 
3.85 1.28 3.54 10.06 0.50 2.01 -0.09 0.21 0.37 0.02 1.56 1.36 1.56 1.76 98.55 2.14 100.69 
3.90 1.30 3.65 10.05 0.51 2.02 -0.09 0.24 0.32 0.05 1.56 1.36 1.56 1.76 98.50 2.18 100.69 
3.95 1.33 3.75 10.05 0.52 2.04 -0.09 0.28 0.27 0.08 1.57 1.37 1.57 1.77 98.46 2.22 100.68 
4.00 1.35 3.85 10.04 0.54 2.05 -0.08 0.32 0.22 0.09 1.57 1.37 1.57 1.77 98.42 2.25 100.67 
4.05 1.38 3.95 10.04 0.56 2.06 -0.08 0.36 0.17 0.10 1.57 1.37 1.57 1.77 98.39 2.27 100.66 
4.10 1.41 4.06 10.04 0.58 2.06 -0.07 0.40 0.11 0.11 1.77 1.57 1.37 1.57 98.35 2.30 100.65 
4.15 1.44 4.16 10.03 0.60 2.07 -0.07 0.44 0.05 0.11 1.37 1.57 1.77 1.57 98.32 2.31 100.63 
4.20 1.47 4.26 10.03 0.62 2.07 -0.06 0.48 0.00 0.11 1.57 1.77 1.57 1.37 98.29 2.33 100.62 
4.25 1.51 4.37 10.03 0.65 2.06 -0.06 0.52 -0.05 0.11 1.57 1.77 1.57 1.37 98.26 2.34 100.60 
4.30 1.54 4.47 10.02 0.68 2.06 -0.05 0.56 -0.10 0.10 1.57 1.77 1.57 1.37 98.24 2.35 100.59 
4.35 1.58 4.57 10.02 0.71 2.05 -0.05 0.59 -0.15 0.10 1.57 1.77 1.57 1.37 98.22 2.35 100.57 
4.40 1.62 4.67 10.02 0.74 2.04 -0.04 0.62 -0.19 0.09 1.57 1.77 1.57 1.37 98.20 2.36 100.56 
4.45 1.66 4.77 10.02 0.77 2.03 -0.04 0.65 -0.24 0.08 1.57 1.77 1.57 1.37 98.18 2.36 100.54 
4.50 1.70 4.87 10.02 0.80 2.02 -0.03 0.68 -0.28 0.08 1.57 1.77 1.57 1.37 98.17 2.35 100.52 
4.55 1.74 4.97 10.02 0.84 2.00 -0.03 0.71 -0.32 0.07 1.57 1.77 1.57 1.37 98.15 2.35 100.50 
4.60 1.78 5.07 10.01 0.88 1.98 -0.03 0.73 -0.35 0.06 1.57 1.77 1.57 1.37 98.14 2.35 100.49 
4.65 1.83 5.17 10.01 0.91 1.96 -0.02 0.75 -0.39 0.06 1.57 1.77 1.57 1.37 98.13 2.34 100.47 
4.70 1.88 5.27 10.01 0.95 1.94 -0.02 0.77 -0.42 0.05 1.57 1.77 1.57 1.37 98.12 2.34 100.46 
4.75 1.93 5.36 10.01 0.99 1.92 -0.02 0.79 -0.46 0.04 1.57 1.77 1.57 1.37 98.11 2.33 100.44 
4.80 1.98 5.46 10.01 1.03 1.89 -0.02 0.81 -0.49 0.04 1.57 1.77 1.57 1.37 98.10 2.33 100.43 
4.85 2.04 5.55 10.01 1.07 1.87 -0.02 0.82 -0.51 0.04 1.57 1.77 1.57 1.37 98.09 2.32 100.41 
4.90 2.09 5.64 10.01 1.11 1.84 -0.01 0.84 -0.54 0.03 1.57 1.77 1.57 1.37 98.09 2.32 100.40 
4.95 2.15 5.73 10.01 1.16 1.81 -0.01 0.85 -0.56 0.03 1.57 1.77 1.57 1.37 98.08 2.31 100.39 
5.00 2.21 5.82 10.01 1.20 1.78 -0.01 0.86 -0.59 0.02 1.57 1.77 1.57 1.37 98.07 2.31 100.39 
5.05 2.28 5.91 10.01 1.24 1.75 -0.01 0.86 -0.61 0.02 1.57 1.77 1.57 1.37 98.07 2.31 100.38 
5.10 2.34 5.99 10.01 1.29 1.72 -0.01 0.87 -0.63 0.02 1.57 1.77 1.57 1.37 98.07 2.31 100.38 
5.15 2.41 6.08 10.01 1.33 1.69 -0.01 0.87 -0.64 0.02 1.57 1.77 1.57 1.37 98.06 2.31 100.37 
5.20 2.48 6.16 10.01 1.37 1.66 -0.01 0.87 -0.66 0.02 1.57 1.77 1.57 1.37 98.06 2.32 100.37 
5.25 2.55 6.24 10.01 1.42 1.62 -0.01 0.87 -0.67 0.02 1.56 1.76 1.56 1.36 98.05 2.32 100.38 
5.30 2.63 6.32 10.01 1.46 1.59 -0.01 0.87 -0.68 0.01 1.76 1.56 1.36 1.56 98.05 2.33 100.38 
5.35 2.70 6.39 10.00 1.50 1.55 -0.01 0.87 -0.70 0.01 1.56 1.76 1.56 1.36 98.05 2.34 100.39 
5.40 2.78 6.47 10.00 1.55 1.52 -0.01 0.86 -0.71 0.01 1.76 1.56 1.36 1.56 98.05 2.35 100.40 
5.45 2.86 6.54 10.00 1.59 1.48 -0.00 0.85 -0.72 0.01 1.56 1.76 1.56 1.36 98.04 2.36 100.41 
5.50 2.94 6.61 10.00 1.63 1.45 -0.00 0.84 -0.73 0.01 1.76 1.56 1.36 1.56 98.04 2.38 100.42 
5.55 3.03 6.68 10.00 1.67 1.41 -0.00 0.83 -0.75 0.01 1.56 1.76 1.56 1.36 98.04 2.39 100.43 
5.60 3.12 6.75 10.00 1.71 1.37 -0.00 0.82 -0.76 0.01 1.76 1.56 1.36 1.56 98.04 2.41 100.45 
5.65 3.20 6.82 10.00 1.76 1.33 -0.00 0.80 -0.77 0.01 1.56 1.76 1.56 1.36 98.04 2.43 100.46 
5.70 3.29 6.88 10.00 1.79 1.29 -0.00 0.79 -0.78 0.01 1.76 1.56 1.36 1.56 98.04 2.45 100.48 
5.75 3.39 6.94 10.00 1.83 1.25 -0.00 0.77 -0.80 0.01 1.56 1.76 1.56 1.36 98.03 2.47 100.50 
5.80 3.48 7.00 10.00 1.87 1.21 -0.00 0.75 -0.81 0.01 1.76 1.56 1.36 1.56 98.03 2.48 100.52 
5.85 3.58 7.06 10.00 1.91 1.17 -0.00 0.72 -0.82 0.00 1.76 1.57 1.37 1.56 98.03 2.50 100.54 
5.90 3.68 7.11 10.00 1.94 1.13 -0.00 0.70 -0.84 0.01 1.56 1.76 1.56 1.36 98.03 2.52 100.55 
5.95 3.78 7.17 10.00 1.97 1.09 -0.00 0.67 -0.85 0.01 1.76 1.56 1.36 1.56 98.03 2.54 100.57 
6.00 3.88 7.22 10.00 2.01 1.04 -0.00 0.64 -0.87 0.01 1.56 1.76 1.56 1.36 98.03 2.56 100.59 
6.05 3.98 7.27 10.00 2.04 1.00 -0.00 0.61 -0.88 0.01 1.76 1.56 1.36 1.56 98.03 2.57 100.61 
6.10 4.08 7.31 10.00 2.07 0.96 -0.00 0.58 -0.90 -0.03 1.62 1.71 1.51 1.42 98.03 2.59 100.62 
6.15 4.19 7.36 10.00 2.09 0.91 -0.00 0.55 -0.91 0.02 1.76 1.56 1.36 1.56 98.03 2.60 100.63 
6.20 4.30 7.40 10.00 2.12 0.86 -0.00 0.51 -0.93 0.01 1.56 1.76 1.56 1.36 98.03 2.62 100.65 
6.25 4.40 7.44 10.00 2.14 0.82 -0.00 0.47 -0.94 0.01 1.76 1.56 1.36 1.56 98.03 2.63 100.66 
6.30 4.51 7.48 10.00 2.16 0.77 -0.00 0.43 -0.96 -0.03 1.66 1.67 1.47 1.46 98.03 2.64 100.66 
6.35 4.62 7.51 10.00 2.18 0.72 -0.00 0.39 -0.98 0.02 1.77 1.57 1.37 1.57 98.03 2.64 100.67 
6.40 4.73 7.54 10.00 2.20 0.67 -0.00 0.34 -1.00 0.01 1.56 1.76 1.56 1.36 98.03 2.64 100.67 
6.45 4.84 7.57 10.00 2.22 0.62 0.00 0.30 -1.01 0.01 1.76 1.56 1.36 1.56 98.03 2.64 100.67 
6.50 4.95 7.60 10.00 2.23 0.57 0.00 0.25 -1.03 0.01 1.56 1.76 1.56 1.36 98.03 2.64 100.67 
6.55 5.07 7.62 10.00 2.24 0.51 0.00 0.20 -1.05 0.00 1.76 1.56 1.36 1.56 98.03 2.64 100.66 
6.60 5.18 7.65 10.00 2.25 0.46 0.00 0.15 -1.07 0.00 1.56 1.76 1.56 1.36 98.03 2.63 100.66 
6.65 5.29 7.67 10.00 2.25 0.41 0.00 0.10 -1.08 0.00 1.76 1.56 1.36 1.56 98.03 2.61 100.64 
6.70 5.40 7.68 10.00 2.25 0.35 0.00 0.04 -1.10 -0.00 1.56 1.76 1.56 1.36 98.03 2.60 100.63 
6.75 5.52 7.69 10.00 2.25 0.30 0.00 -0.02 -1.12 -0.00 1.76 1.56 1.36 1.56 98.03 2.58 100.61 
6.80 5.63 7.71 10.00 2.25 0.24 0.00 -0.08 -1.14 -0.00 1.36 1.56 1.76 1.56 98.03 2.55 100.58 
6.85 5.74 7.71 10.00 2.24 0.18 -0.00 -0.13 -1.15 -0.01 1.56 1.76 1.56 1.36 98.03 2.53 100.56 
6.90 5.85 7.72 10.00 2.23 0.12 -0.00 -0.19 -1.17 -0.01 1.56 1.36 1.56 1.76 98.03 2.50 100.53 
6.95 5.96 7.72 10.00 2.22 0.06 -0.00 -0.24 -1.19 -0.01 1.36 1.56 1.76 1.56 98.03 2.46 100.49 
7.00 6.07 7.72 10.00 2.20 0.00 -0.00 -0.30 -1.20 -0.01 1.36 1.56 1.76 1.56 98.03 2.43 100.46 
7.05 6.18 7.71 10.00 2.19 -0.06 -0.00 -0.35 -1.21 -0.01 1.36 1.56 1.76 1.56 98.03 2.39 100.42 
7.10 6.29 7.71 10.00 2.17 -0.12 -0.00 -0.40 -1.22 -0.01 1.36 1.56 1.76 1.56 98.03 2.35 100.38 
7.15 6.40 7.70 10.00 2.14 -0.18 -0.00 -0.45 -1.23 -0.01 1.37 1.57 1.77 1.57 98.02 2.32 100.34 
7.20 6.50 7.68 10.00 2.12 -0.24 -0.00 -0.49 -1.24 -0.01 1.37 1.57 1.77 1.57 98.02 2.28 100.30 
7.25 6.61 7.67 10.00 2.09 -0.30 -0.00 -0.54 -1.24 -0.01 1.37 1.57 1.77 1.57 98.02 2.24 100.26 
7.30 6.71 7.65 10.00 2.06 -0.37 -0.00 -0.58 -1.24 -0.01 1.37 1.57 1.77 1.57 98.02 2.20 100.22 
7.35 6.81 7.62 10.00 2.03 -0.43 -0.00 -0.62 -1.25 -0.01 1.37 1.57 1.77 1.57 98.02 2.16 100.18 
7.40 6.91 7.60 10.00 2.00 -0.49 -0.00 -0.66 -1.24 -0.01 1.37 1.57 1.77 1.57 98.01 2.12 100.14 
7.45 7.01 7.57 10.00 1.97 -0.55 -0.00 -0.70 -1.24 -0.00 1.37 1.57 1.77 1.57 98.01 2.08 100.10 
7.50 7.10 7.53 10.00 1.93 -0.61 -0.00 -0.73 -1.24 -0.00 1.37 1.57 1.77 1.57 98.01 2.05 100.06 
7.55 7.19 7.50 10.00 1.89 -0.68 -0.00 -0.76 -1.23 -0.00 1.37 1.57 1.77 1.57 98.01 2.02 100.02 
7.60 7.29 7.46 10.00 1.85 -0.74 -0.00 -0.79 -1.22 -0.00 1.37 1.57 1.77 1.57 98.01 1.98 99.99 
7.65 7.38 7.42 10.00 1.81 -0.80 -0.00 -0.82 -1.21 0.00 1.37 1.57 1.77 1.57 98.00 1.96 99.96 
7.70 7.46 7.38 10.00 1.77 -0.86 -0.00 -0.85 -1.20 0.00 1.37 1.57 1.77 1.57 98.00 1.93 99.93 
7.75 7.55 7.33 10.00 1.72 -0.92 -0.00 -0.88 -1.18 0.00 1.37 1.57 1.77 1.57 98.00 1.90 99.90 
7.80 7.63 7.28 10.00 1.68 -0.97 -0.00 -0.90 -1.17 0.00 1.37 1.57 1.77 1.57 98.00 1.88 99.88 
7.85 7.71 7.23 10.00 1.63 -1.03 -0.00 -0.92 -1.15 0.00 1.37 1.57 1.77 1.57 97.99 1.86 99.86 
7.90 7.79 7.17 10.00 1.59 -1.09 -0.00 -0.94 -1.13 0.01 1.37 1.57 1.77 1.57 97.99 1.85 99.84 
7.95 7.87 7.11 10.00 1.54 -1.14 -0.00 -0.96 -1.10 0.01 1.37 1.57 1.77 1.57 97.99 1.84 99.83 
8.00 7.94 7.05 10.00 1.49 -1.20 -0.00 -0.97 -1.08 0.01 1.57 1.77 1.57 1.37 97.99 1.83 99.81 
8.05 8.01 6.99 10.00 1.44 -1.25 -0.00 -0.99 -1.05 0.01 1.37 1.57 1.77 1.57 97.99 1.82 99.81 
8.10 8.08 6.92 10.00 1.39 -1.30 -0.00 -1.01 -1.02 0.01 1.57 1.77 1.57 1.37 97.99 1.81 99.80 
8.15 8.14 6.85 10.00 1.34 -1.35 -0.00 -1.03 -0.99 0.01 1.37 1.57 1.77 1.57 97.99 1.81 99.79 
8.20 8.21 6.78 10.00 1.29 -1.40 -0.00 -1.04 -0.96 0.01 1.57 1.77 1.57 1.37 97.99 1.81 99.79 
8.25 8.27 6.71 10.00 1.23 -1.45 -0.00 -1.06 -0.93 0.01 1.37 1.57 1.77 1.57 97.98 1.80 99.79 
8.30 8.32 6.63 10.00 1.18 -1.49 -0.00 -1.08 -0.89 0.01 1.57 1.77 1.57 1.37 97.98 1.81 99.79 
8.35 8.38 6.55 10.00 1.12 -1.53 -0.00 -1.10 -0.85 0.01 1.37 1.57 1.77 1.57 97.98 1.81 99.79 
8.40 8.43 6.47 10.00 1.07 -1.57 0.00 -1.11 -0.81 0.01 1.57 1.77 1.57 1.37 97.98 1.81 99.79 
8.45 8.48 6.39 10.00 1.01 -1.61 0.00 -1.13 -0.77 0.01 1.37 1.57 1.77 1.57 97.98 1.81 99.80 
8.50 8.53 6.31 10.00 0.95 -1.65 0.00 -1.15 -0.73 0.01 1.57 1.77 1.57 1.37 97.99 1.82 99.80 
8.55 8.57 6.22 10.00 0.90 -1.68 0.00 -1.16 -0.68 0.01 1.37 1.57 1.77 1.57 97.99 1.82 99.80 
8.60 8.61 6.14 10.00 0.84 -1.71 0.00 -1.18 -0.64 0.01 1.57 1.77 1.57 1.37 97.99 1.82 99.81 
8.65 8.65 6.05 10.00 0.78 -1.74 0.00 -1.20 -0.59 0.00 1.37 1.57 1.77 1.57 97.99 1.82 99.81 
8.70 8.68 5.96 10.00 0.72 -1.77 0.00 -1.21 -0.53 0.00 1.57 1.77 1.57 1.37 97.99 1.82 99.81 
8.75 8.71 5.87 10.00 0.66 -1.79 0.00 -1.23 -0.48 0.00 1.37 1.57 1.77 1.57 97.99 1.83 99.81 
8.80 8.74 5.78 10.00 0.59 -1.82 0.00 -1.25 -0.43 0.00 1.57 1.77 1.57 1.37 97.99 1.83 99.82 
8.85 8.77 5.69 10.00 0.53 -1.83 0.00 -1.27 -0.37 0.00 1.57 1.37 1.57 1.77 97.99 1.82 99.81 
8.90 8.79 5.59 10.00 0.47 -1.85 0.00 -1.28 -0.32 -0.00 1.57 1.37 1.57 1.77 97.99 1.82 99.81 
8.95 8.81 5.50 10.00 0.40 -1.86 0.00 -1.30 -0.27 -0.00 1.57 1.37 1.57 1.77 97.99 1.82 99.81 
9.00 8.82 5.40 10.00 0.34 -1.87 0.00 -1.31 -0.22 -0.00 1.57 1.37 1.57 1.77 97.99 1.81 99.81 
9.05 8.83 5.31 10.00 0.27 -1.88 0.00 -1.32 -0.17 -0.00 1.57 1.37 1.57 1.77 97.99 1.81 99.80 
9.10 8.84 5.22 10.00 0.20 -1.89 0.00 -1.32 -0.12 -0.00 1.57 1.37 1.57 1.77 98.00 1.81 99.80 
9.15 8.85 5.12 10.00 0.14 -1.89 0.00 -1.33 -0.08 -0.00 1.37 1.57 1.77 1.57 98.00 1.80 99.80 
9.20 8.85 5.03 10.00 0.07 -1.89 0.00 -1.33 -0.03 -0.00 1.57 1.37 1.57 1.77 98.00 1.80 99.79 
9.25 8.85 4.93 10.00 0.00 -1.89 0.00 -1.34 0.01 -0.00 1.57 1.37 1.57 1.77 98.00 1.79 99.79 
9.30 8.84 4.84 10.00 -0.06 -1.89 0.00 -1.34 0.05 -0.00 1.37 1.57 1.77 1.57 98.00 1.79 99.79 
9.35 8.83 4.74 10.00 -0.13 -1.89 0.00 -1.33 0.10 -0.00 1.57 1.37 1.57 1.77 98.00 1.79 99.79 
9.40 8.82 4.65 10.00 -0.20 -1.88 0.00 -1.33 0.14 -0.00 1.57 1.37 1.57 1.77 98.00 1.79 99.78 
9.45 8.81 4.56 10.00 -0.26 -1.87 0.00 -1.32 0.18 -0.00 1.37 1.57 1.77 1.57 98.00 1.78 99.78 
9.50 8.79 4.46 10.00 -0.33 -1.86 0.00 -1.32 0.22 -0.00 1.57 1.37 1.57 1.77 98.00 1.78 99.78 
9.55 8.77 4.37 10.00 -0.39 -1.85 0.00 -1.31 0.26 -0.00 1.57 1.37 1.57 1.77 98.00 1.78 99.78 
9.60 8.74 4.28 10.00 -0.46 -1.83 0.00 -1.30 0.30 -0.00 1.37 1.57 1.77 1.57 98.00 1.78 99.78 
9.65 8.72 4.19 10.00 -0.52 -1.81 0.00 -1.28 0.34 -0.00 1.57 1.37 1.57 1.77 98.00 1.78 99.78 
9.70 8.69 4.10 10.00 -0.59 -1.80 -0.00 -1.26 0.38 -0.03 1.52 1.41 1.61 1.72 98.00 1.78 99.78 
9.75 8.65 4.01 10.00 -0.65 -1.78 -0.00 -1.25 0.42 0.01 1.37 1.57 1.77 1.57 98.00 1.79 99.78 
